University,,,,Library Strategic Plan
University of Houston,Public,Houston,TX,https://libraries.uh.edu/wp-content/uploads/UH_Libraries_Strategic_Plan_2017-2021.pdf
University of Illinois at Chicago,Public,Chicago,IL,https://cms.library.uic.edu/wp-content/uploads/2019/09/UICLib_StrategicPlan_Long_SINGLEPAGES_09.26.19.pdf
University of Illinois at Urbana–Champaign,Public,Champaign,IL,https://www.library.illinois.edu/geninfo/libraryinit/strategic-framework-2019/
Indiana University Bloomington,Public,Bloomington,IN,https://libraries.indiana.edu/document/iub-libraries-strategic-plan-pdf
University of Iowa,Public,Iowa City,IA,https://www.lib.uiowa.edu/about/strategic-plan-2022-2027/
Iowa State University,Public,Ames,IA,https://www.lib.uiowa.edu/about/files/2012/10/UIowa_Libraries_Strategic_Plan_2015-2018.pdf
Johns Hopkins University,Private (non-profit),Baltimore,MD,
University of Kansas,Public,Lawrence,KS,"https://lib.ku.edu/strategic-plan#:~:text=Goal%201%3A%20Build%20a%20stronger,collections%2C%20services%2C%20and%20policies.&text=Goal%203%3A%20Enhance%20KU's%20research%20profile."
Kansas State University,Public,Manhattan,KS,https://www.k-state.edu/2025/documents/college-planning/K-State%202025-Libraries-Strategic-Direction-Action-and-Alignment-Plan-January-2015.pdf
University of Kentucky,Public,Lexington,KY,https://www.uky.edu/ofa/sites/www.uky.edu.ofa/files/uploads/UK%20Libraries%20Strategic%20Plan%202015-2020%20FINAL.pdf
Louisiana State University and Agricultural & Mechanical College,Public,Baton Rouge,LA,https://www.lib.lsu.edu/sites/default/files/info/lsulibrariesstrategicplan17-22.pdf
University of Louisville,Public,Louisville,KY,https://library.louisville.edu/ld.php?content_id=24731662
"University of Maryland, College Park",Public,College Park,MD,https://www.lib.umd.edu/binaries/content/assets/public/about/strategicplanninghandout-final.pdf
University of Massachusetts Amherst,Public,Amherst,MA,https://www.library.umass.edu/dmsdocument/191-strategic-plan-2019-2021
Massachusetts Institute of Technology,Private (non-profit),Cambridge,MA,https://future-of-libraries.mit.edu/sites/default/files/FutureLibraries-PrelimReport-Final.pdf
University of Miami,Private (non-profit),Coral Gables,FL,https://www.library.miami.edu/about/strategic-planning.html
University of Michigan,Public,Ann Arbor,MI,https://www.lib.umich.edu/about-us/about-library/strategic-directions-and-objectives
Michigan State University,Public,East Lansing,MI,https://lib.msu.edu/sites/default/files/strategic-plan/StrategicPlan_Document_Final_Accessible.pdf
University of Minnesota,Public,Minneapolis,MN,https://continuum.umn.edu/pdf/UL-strategic_plan-2016-20A.pdf
